ПИК ГК,1223.8,103.97
ФосАгро,5771,69.59
Мечел,121.27,51.21
Газпром,335.76,48.57
Новатэк,1726,24.71
Роснефть НК,605.5,17.73
Банк ВТБ,0.04641,17.14
Северсталь,1551.8,14.86
Алроса АК,118.61,14.11
ЛУКОЙЛ НК,6659,12.86
Сургутнефтегаз,38.39,4.66
Сбербанк России,252.64,1.3
Магнит,5235.5,0.62
НЛМК,214,-2.46
Polymetal Int,1576,-5.39
РусГидро,0.7326,-8.13
Детский мир,118.44,-9.56
Московская Биржа,144.27,-9.69
Норникель,22648,-11.91
МТС,289.65,-13.33
Аэрофлот,59.86,-17.55
Полюс,11929,-20.09
Интер РАО,4.296,-20.54
Яндекс,3938.6,-21.39
Система АФК,22.542,-27.58
Мвидео,443.4,-40.11
